condition_name,symptoms,description,severity_score,urgency_tier,precautions,recommended_specialty
Fungal infection,"itching, skin_rash, nodal_skin_eruptions, dischromic_patches","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",4.0,Medium,bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths,
Fungal infection,"skin_rash, nodal_skin_eruptions, dischromic_patches","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",4.0,Medium,bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths,
Fungal infection,"itching, nodal_skin_eruptions, dischromic_patches","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",4.0,Medium,bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths,
Fungal infection,"itching, skin_rash, dischromic_patches","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",3.0,Medium,bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths,
Fungal infection,"itching, skin_rash, nodal_skin_eruptions","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",4.0,Medium,bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths,
Fungal infection,"skin_rash, nodal_skin_eruptions, dischromic_patches","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",4.0,Medium,bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths,
Fungal infection,"itching, nodal_skin_eruptions, dischromic_patches","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",4.0,Medium,bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths,
Fungal infection,"itching, skin_rash, dischromic_patches","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",3.0,Medium,bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths,
Fungal infection,"itching, skin_rash, nodal_skin_eruptions","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",4.0,Medium,bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths,
Fungal infection,"itching, skin_rash, nodal_skin_eruptions, dischromic_patches","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",4.0,Medium,bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths,
Allergy,"continuous_sneezing, shivering, chills, watering_from_eyes","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",5.0,Medium,apply calamine | cover area with bandage | nan | use ice to compress itching,
Allergy,"shivering, chills, watering_from_eyes","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",5.0,Medium,apply calamine | cover area with bandage | nan | use ice to compress itching,
Allergy,"continuous_sneezing, chills, watering_from_eyes","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",4.0,Medium,apply calamine | cover area with bandage | nan | use ice to compress itching,
Allergy,"continuous_sneezing, shivering, watering_from_eyes","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",5.0,Medium,apply calamine | cover area with bandage | nan | use ice to compress itching,
Allergy,"continuous_sneezing, shivering, chills","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",5.0,Medium,apply calamine | cover area with bandage | nan | use ice to compress itching,
Allergy,"shivering, chills, watering_from_eyes","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",5.0,Medium,apply calamine | cover area with bandage | nan | use ice to compress itching,
Allergy,"continuous_sneezing, chills, watering_from_eyes","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",4.0,Medium,apply calamine | cover area with bandage | nan | use ice to compress itching,
Allergy,"continuous_sneezing, shivering, watering_from_eyes","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",5.0,Medium,apply calamine | cover area with bandage | nan | use ice to compress itching,
Allergy,"continuous_sneezing, shivering, chills","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",5.0,Medium,apply calamine | cover area with bandage | nan | use ice to compress itching,
Allergy,"continuous_sneezing, shivering, chills, watering_from_eyes","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",5.0,Medium,apply calamine | cover area with bandage | nan | use ice to compress itching,
GERD,"stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",7.0,High,avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise,
GERD,"stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",7.0,High,avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise,
GERD,"stomach_pain, acidity, vomiting, cough, chest_pain","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",7.0,High,avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise,
GERD,"stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",7.0,High,avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise,
GERD,"stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",7.0,High,avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise,
GERD,"stomach_pain, acidity, ulcers_on_tongue, vomiting, cough","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",5.0,Medium,avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise,
GERD,"acidity, ulcers_on_tongue, vomiting, cough, chest_pain","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",7.0,High,avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise,
GERD,"stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",7.0,High,avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise,
GERD,"stomach_pain, acidity, vomiting, cough, chest_pain","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",7.0,High,avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise,
GERD,"stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",7.0,High,avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise,
Chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",5.0,Medium,cold baths | anti itch medicine | consult doctor | eat healthy,
Chronic cholestasis,"vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",5.0,Medium,cold baths | anti itch medicine | consult doctor | eat healthy,
Chronic cholestasis,"itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",5.0,Medium,cold baths | anti itch medicine | consult doctor | eat healthy,
Chronic cholestasis,"itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",5.0,Medium,cold baths | anti itch medicine | consult doctor | eat healthy,
Chronic cholestasis,"itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",5.0,Medium,cold baths | anti itch medicine | consult doctor | eat healthy,
Chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",5.0,Medium,cold baths | anti itch medicine | consult doctor | eat healthy,
Chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",5.0,Medium,cold baths | anti itch medicine | consult doctor | eat healthy,
Chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",5.0,Medium,cold baths | anti itch medicine | consult doctor | eat healthy,
Chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",5.0,Medium,cold baths | anti itch medicine | consult doctor | eat healthy,
Chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",5.0,Medium,cold baths | anti itch medicine | consult doctor | eat healthy,
Drug Reaction,"itching, skin_rash, stomach_pain, burning_micturition, spotting_urination",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,6.0,High,stop irritation | consult nearest hospital | stop taking drug | follow up,
Drug Reaction,"itching, stomach_pain, burning_micturition, spotting_urination",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,6.0,High,stop irritation | consult nearest hospital | stop taking drug | follow up,
Drug Reaction,"itching, skin_rash, burning_micturition, spotting_urination",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,6.0,High,stop irritation | consult nearest hospital | stop taking drug | follow up,
Drug Reaction,"itching, skin_rash, stomach_pain, spotting_urination",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,5.0,Medium,stop irritation | consult nearest hospital | stop taking drug | follow up,
Drug Reaction,"itching, skin_rash, stomach_pain, burning_micturition",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,6.0,High,stop irritation | consult nearest hospital | stop taking drug | follow up,
Drug Reaction,"skin_rash, stomach_pain, burning_micturition, spotting_urination",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,6.0,High,stop irritation | consult nearest hospital | stop taking drug | follow up,
Drug Reaction,"itching, stomach_pain, burning_micturition, spotting_urination",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,6.0,High,stop irritation | consult nearest hospital | stop taking drug | follow up,
Drug Reaction,"itching, skin_rash, burning_micturition, spotting_urination",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,6.0,High,stop irritation | consult nearest hospital | stop taking drug | follow up,
Drug Reaction,"itching, skin_rash, stomach_pain, spotting_urination",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,5.0,Medium,stop irritation | consult nearest hospital | stop taking drug | follow up,
Drug Reaction,"itching, skin_rash, stomach_pain, burning_micturition",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,6.0,High,stop irritation | consult nearest hospital | stop taking drug | follow up,
Peptic ulcer diseae,"vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",5.0,Medium,avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol,
Peptic ulcer diseae,"vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",5.0,Medium,avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol,
Peptic ulcer diseae,"indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",5.0,Medium,avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol,
Peptic ulcer diseae,"vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",5.0,Medium,avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol,
Peptic ulcer diseae,"vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",5.0,Medium,avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol,
Peptic ulcer diseae,"vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",5.0,Medium,avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol,
Peptic ulcer diseae,"vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",5.0,Medium,avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol,
Peptic ulcer diseae,"vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",5.0,Medium,avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol,
