product_name,category,price,stock_quantity,description,prescription_required,brand_name,form,sku,image_url
Paracetamol 10mg Capsule,Respiratory,22.21,49,Paracetamol 10mg Capsule used for respiratory related conditions. Use as directed by physician.,True,PharmaNova,Capsule,SKU-00000,https://example.com/product/0.png
Vitamin B12 100mg Syrup,Antihypertensives,38.21,259,Vitamin B12 100mg Syrup used for antihypertensives related conditions. Use as directed by physician.,True,LifeLine,Syrup,SKU-00001,https://example.com/product/1.png
Amoxicillin 10mg Injection,Respiratory,37.94,484,Amoxicillin 10mg Injection used for respiratory related conditions. Use as directed by physician.,False,MediCare,Injection,SKU-00002,https://example.com/product/2.png
Salbutamol 10mg Injection,Analgesics,11.67,433,Salbutamol 10mg Injection used for analgesics related conditions. Use as directed by physician.,True,LifeLine,Injection,SKU-00003,https://example.com/product/3.png
Cetirizine 20mg Tablet,Antihypertensives,41.53,381,Cetirizine 20mg Tablet used for antihypertensives related conditions. Use as directed by physician.,True,MediCare,Tablet,SKU-00004,https://example.com/product/4.png
Metformin 500mg Syrup,Analgesics,2.15,177,Metformin 500mg Syrup used for analgesics related conditions. Use as directed by physician.,False,LifeLine,Syrup,SKU-00005,https://example.com/product/5.png
Atorvastatin 500mg Tablet,Antihypertensives,19.93,180,Atorvastatin 500mg Tablet used for antihypertensives related conditions. Use as directed by physician.,True,MediCare,Tablet,SKU-00006,https://example.com/product/6.png
Cetirizine 200mg Syrup,Analgesics,7.76,427,Cetirizine 200mg Syrup used for analgesics related conditions. Use as directed by physician.,True,LifeLine,Syrup,SKU-00007,https://example.com/product/7.png
Atorvastatin 100mg Syrup,Antibiotics,22.38,123,Atorvastatin 100mg Syrup used for antibiotics related conditions. Use as directed by physician.,True,LifeLine,Syrup,SKU-00008,https://example.com/product/8.png
Paracetamol 10mg Injection,Supplements,5.12,169,Paracetamol 10mg Injection used for supplements related conditions. Use as directed by physician.,False,HealthPlus,Injection,SKU-00009,https://example.com/product/9.png
Paracetamol 10mg Injection,Supplements,42.93,108,Paracetamol 10mg Injection used for supplements related conditions. Use as directed by physician.,False,HealthPlus,Injection,SKU-00010,https://example.com/product/10.png
Amoxicillin 200mg Syrup,Antihypertensives,27.24,374,Amoxicillin 200mg Syrup used for antihypertensives related conditions. Use as directed by physician.,True,LifeLine,Syrup,SKU-00011,https://example.com/product/11.png
Amoxicillin 200mg Capsule,Antihypertensives,22.37,111,Amoxicillin 200mg Capsule used for antihypertensives related conditions. Use as directed by physician.,True,LifeLine,Capsule,SKU-00012,https://example.com/product/12.png
Cetirizine 400mg Syrup,Antidiabetics,45.77,191,Cetirizine 400mg Syrup used for antidiabetics related conditions. Use as directed by physician.,True,MediCare,Syrup,SKU-00013,https://example.com/product/13.png
Ibuprofen 200mg Capsule,Antidiabetics,42.47,373,Ibuprofen 200mg Capsule used for antidiabetics related conditions. Use as directed by physician.,True,MediCare,Capsule,SKU-00014,https://example.com/product/14.png
