condition_name,description,precautions,recommended_specialty,urgency_tier,severity_score
(Vertigo) Paroxysmal Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,lie down | avoid sudden change in body | avoid abrupt head movment | relax,Neurology,High,6.0
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts | wear ppe if possible | consult doctor | follow up,General Medicine,High,7.0
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",bath twice | avoid fatty spicy food | drink plenty of water | avoid too many products,Dermatology,Medium,3.0
Alcoholic Hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",stop alcohol consumption | consult doctor | medication | follow up,Gastroenterology,High,7.0
Allergic Rhinitis,"Allergic Rhinitis is characterized by symptoms such as runny nose, sneezing, nasal congestion, itchy eyes. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,General Medicine,Low,2
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine | cover area with bandage | nan | use ice to compress itching,General Medicine,Medium,5.0
Anxiety,"Anxiety is characterized by symptoms such as restlessness, difficulty concentrating, sweating, racing heart. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,Psychiatry,Low,4
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",exercise | use hot and cold therapy | try acupuncture | massage,Orthopedics,Medium,5.0
Asthma,"Asthma is characterized by symptoms such as chest tightness, shortness of breath. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,Pulmonology,Medium,1
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing | take deep breaths | get away from trigger | seek help,Pulmonology,High,7.0
COPD,"COPD is characterized by symptoms such as wheezing, shortness of breath. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,Pulmonology,Low,7
Cervical Spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",use heating pad or cold pack | exercise | take otc pain reliver | consult doctor,Orthopedics,High,7.0
Chicken Pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",use neem in bathing | consume neem leaves | take vaccine | avoid public places,General Medicine,High,7.0
Chronic Cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths | anti itch medicine | consult doctor | eat healthy,Gastroenterology,Medium,5.0
Chronic Kidney Disease,"Chronic Kidney Disease is characterized by symptoms such as decreased urine output, nausea. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,General Medicine,Low,4
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",drink vitamin c rich drinks | take vapour | avoid cold food | keep fever in check,General Medicine,High,7.0
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",drink papaya leaf juice | avoid fatty spicy food | keep mosquitos away | keep hydrated,General Medicine,High,7.0
Depression,"Depression is characterized by symptoms such as sleep disturbance, fatigue. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,Psychiatry,Low,4
Dermatitis,"Dermatitis is characterized by symptoms such as redness, rash, itchy skin, dry skin. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,Dermatology,Medium,10
Diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet | exercise | consult doctor | follow up,Endocrinology,Medium,5.0
Dimorphic Hemorrhoids (Piles),Dimorphic Hemorrhoids (Piles) is a medical condition. Please consult a doctor for diagnosis and management.,avoid fatty spicy food | consume witch hazel | warm bath with epsom salt | consume alovera juice,Gastroenterology,High,6.0
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation | consult nearest hospital | stop taking drug | follow up,General Medicine,High,6.0
Epilepsy,"Epilepsy is characterized by symptoms such as seizures, confusion, muscle jerks. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,Neurology,Low,3
Fungal Infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths,Dermatology,Medium,4.0
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise,Gastroenterology,High,7.0
Gastritis,"Gastritis is characterized by symptoms such as stomach pain, nausea, bloating. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,Gastroenterology,Low,1
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while | try taking small sips of water | rest | ease back into eating,Gastroenterology,High,6.0
Heart Attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",call ambulance | chew or swallow asprin | keep calm | nan,Cardiology,High,7.0
Heart Failure,"Heart Failure is characterized by symptoms such as swollen legs, rapid heartbeat. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,Cardiology,High,2
Hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital | wash hands through | avoid fatty spicy food | medication,Gastroenterology,High,6.0
Hepatitis B,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital | vaccination | eat healthy | medication,Gastroenterology,High,6.0
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",Consult nearest hospital | vaccination | eat healthy | medication,Gastroenterology,Medium,5.0
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",consult doctor | medication | eat healthy | follow up,Gastroenterology,Medium,5.0
Hepatitis E,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,stop alcohol consumption | rest | consult doctor | medication,Gastroenterology,High,7.0
Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation | salt baths | reduce stress | get proper sleep,Cardiology,High,7.0
Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",eat healthy | massage | use lemon balm | take radioactive iodine treatment,Endocrinology,High,6.0
Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,lie down on side | check in pulse | drink sugary drinks | consult doctor,Endocrinology,Medium,5.0
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",reduce stress | exercise | eat healthy | get proper sleep,Endocrinology,High,6.0
Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",soak affected area in warm water | use antibiotics | remove scabs with wet compressed cloth | consult doctor,Dermatology,High,7.0
Irritable Bowel Syndrome,"Irritable Bowel Syndrome is characterized by symptoms such as abdominal pain, constipation, diarrhea. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,Gastroenterology,Medium,4
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",drink plenty of water | consume milk thistle | eat fruits and high fiberous food | medication,Gastroenterology,High,7.0
Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital | avoid oily food | avoid non veg food | keep mosquitos out,General Medicine,High,7.0
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation | reduce stress | use poloroid glasses in sun | consult doctor,Neurology,Medium,5.0
Osteoarthritis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",acetaminophen | consult nearest hospital | follow up | salt baths,Orthopedics,Medium,5.0
Otitis Media,"Otitis Media is characterized by symptoms such as fever, hearing loss. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,General Medicine,Low,9
Panic Disorder,"Panic Disorder is characterized by symptoms such as chest pain, sudden fear, racing heart, shortness of breath. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,Psychiatry,High,8
Paralysis (brain Hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",massage | eat healthy | exercise | consult doctor,Neurology,Medium,5.0
Peptic Ulcer Disease,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food | consume probiotic food | eliminate milk | limit alcohol,Gastroenterology,Medium,5.0
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor | medication | rest | follow up,Pulmonology,High,7.0
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water | stop bleeding using pressure | consult doctor | salt baths,Dermatology,Medium,3.0
Sinusitis,"Sinusitis is characterized by symptoms such as nasal congestion, facial pain. Patients should seek medical advice if symptoms persist or worsen.",consult doctor | follow medical advice | rest | stay hydrated,General Medicine,Critical,7
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth | consult doctor | medication | rest,Pulmonology,High,7.0
Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",eat high calorie vegitables | antiboitic therapy | consult doctor | medication,General Medicine,High,7.0
Urinary Tract Infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",drink plenty of water | increase vitamin c intake | drink cranberry juice | take probiotics,General Medicine,High,6.0
Varicose Veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",lie down flat and raise the leg high | use oinments | use vein compression | dont stand still for long,Cardiology,High,6.0
